index_items,product_name,category_name,sub_category,brand_name,sale_price,market_price,type_product,rating_product,price_segment
8531,Muskmelon - Striped,Fruits & Vegetables,Fresh Fruits,Fresho,35,43.75,Kiwi Melon Citrus Fruit,,Low
8533,Original Talc,Beauty & Hygiene,Men's Grooming,Cinthol,128.25,135,Talc,4.4,Medium
8579,Hard Anodised Plus Chapati-Paratha Tawa 225 mm (35035),Kitchen Garden & Pets,Cookware & Non Stick,Prestige,720,850,Tawa & Sauce Pan,3.1,High
8581,Steel Lid/Cover For Utensils Kadai & Tope - No.12,Kitchen Garden & Pets,Steel Utensils,BB Home,89,129,Plates & Tumblers,4.1,Low
8582,Roasted - Pumpkin Seeds,Gourmet & World Food,Snacks Dry Fruits Nuts,GoodDiet,175,279,Dry Fruits & Berries,,Medium
8601,For Men Set,Beauty & Hygiene,Fragrances & Deos,Jaguar,2475,3300,Gift Sets,3,High
8631,Fragrance Body Spray - Marco 150 ml + Fragrance Body Spray - Napoleon 150 ml,Beauty & Hygiene,Fragrances & Deos,Fogg,276,460,Men's Deodorants,,Medium
8632,Super Oats - Veggies Masala,Gourmet & World Food,Cereals & Breakfast,Yoga bar,119.4,199,Imported Oats & Porridge,,Medium
8633,Peanut Butter With Whey Protein & Moringa,Snacks & Branded Foods,Spreads Sauces Ketchup,NUTRIWISH,800,800,Choco & Nut Spread,1,High
8634,Ginger,Fruits & Vegetables,Herbs & Seasonings,Fresho,15,18.75,Lemon Ginger & Garlic,,Low
8147,Coconut Milk,Beverages,Fruit Juices & Drinks,Coco mama,152,160,Juices,,Medium
8148,True Edge Knife Set With Board 43000,Kitchen Garden & Pets,Kitchen Accessories,Prestige,595,595,Knives & Peelers,,High
8712,Tea - Natural Care,Beverages,Tea,Red Label,134,160,Leaf & Dust Tea,4.2,Medium
8739,Premium International Dried Strawberry,Gourmet & World Food,Snacks Dry Fruits Nuts,Happilo,196,245,Dry Fruits & Berries,,Medium
8740,Bread - Whole Wheat Chemical Free 400G + Eggs - Regular 6pcs,Bakery Cakes & Dairy,Breads & Buns,Fresho,80.58,89,Brown Wheat & Multigrain,,Low
8741,Mixture - Corn,Snacks & Branded Foods,Snacks & Namkeen,Kiara Foods,45,45,Chips & Corn Snacks,4.8,Low
8742,Syrup - Caramel,Beverages,Fruit Juices & Drinks,Mrs Bector'S Cremica,235,235,Syrups & Concentrates,2,Medium
8743,Pain Relief Balm - Red,Beauty & Hygiene,Health & Medicine,Tiger Balm,47,47,Everyday Medicine,3.9,Low
8792,Black Chana Atta - Sattu,Gourmet & World Food,Cooking & Baking Needs,Nutty Yogi,149,149,Flours & Pre-Mixes,4.3,Medium
8793,Millet Pancake Mix - Banana Choco-Chip & Supergrains,Gourmet & World Food,Cooking & Baking Needs,Slurrp Farm,149,149,Flours & Pre-Mixes,4.2,Medium
8794,Sugarfree Jaggery Peanut Butter Choco Chips Cake - Whole Wheat Eggless,Bakery Cakes & Dairy,Cakes & Pastries,BHealthy,299,299,Tea Cakes & Slice Cakes,,Medium
8845,Wood Blast Man Deodorant,Beauty & Hygiene,Men's Grooming,Nike,265.05,279,Men's Deodorants,,Medium
8899,Amla Candy - Delicious Healthy and Digestive,Gourmet & World Food,Chocolates & Biscuits,Sri Sri Tattva,170,170,Marshmallow Candy Jelly,4,Medium
8900,Forbidden Affair Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,Anna sui,1125,2250,Eau De Toilette,,High
8949,Dark Chocolate Orange With Pistachios,Gourmet & World Food,Chocolates & Biscuits,MOJO THINS,250,250,Luxury Chocolates Gifts,3,Medium
8950,Skin Purifying & Radiant Glow Brightening Scrub - With Mandarin & Green Tea,Beauty & Hygiene,Skin Care,Joy,187.5,250,Face Care,5,Medium
